indonesia,betawi
"Punya kendaraan apa aja? ? Ada mobil, ada motor vespa, ada sepeda, dan ada motor honda http://ask.fm/a/bo03keji ","Punye kendaraan ape aje? ? Ade mobil, ade motor pespa, ade sepedah, dan ade motor honda http://ask.fm/a/bo03keji "
"ac panas, front office kurang ramah","ac bringsang, pegawe depan kurang ajer"
"Yuk, akhirnya msk minggu awal bln Juni 2018. Ga terasa udh setengah thn aj. Ternyata bnyak target yg blm terealisasi sampai skr. Hrs belajar displin &amp","Nyok, akhirnye masuk minggu awal bulan Juni 2018. Kaga terase udeh setenge taun aje. Nyatenye banyak target nyang belom kewujud ampe karang. Kudu belajar displin &amp"
"Aliran air Kamar mandinya mampet, jadi abis dipakai air menggenang dan berbau","Aliran aèr sumurnyè mampêt, jadi abis dipakè aèr ngêgênang dan bêbau"
"[USERNAME] monggo di perbaiki, KRL jurusan bekasi, cikarang, Bogor, tanah abang, memang seperti hutan, siapa kuat dia yang menang. Cc [USERNAME] [USERNAME] [USERNAME] [URL]","[USERNAME] cepetan dibenain, KRL jurusan Bekasi, Cikarang, Bogor, Tanah Abang, emang kek utan, siape kuat die nyang menang. Cc [USERNAME] [USERNAME] [USERNAME] [URL]"
pelayanan yang ramah... dan fasilitas mumpuni... cuman kurang kebersihan kamarandi saja... selebihnya memuaskan... nilai plusnya ada di breakfast yg enak.,pêlayanan nyang gêpyak... dan pasilitas baèk... tibang kurang kêrêsikan sumur ajè... sêlêbihnyè muasin... pontên lêbihnyè adè di nyarap nyang sêdêp.
"Gue emang sayang sama lo... Tapi itu bukan berarti lo bisa seenaknya! Kapanpun gue mau, gue bisa aja pergi dari lo!! :)","Gue emang sayang ama lo... Tapi ntu bukan berarti lo bise seenaknye! Kapan ge gue mao, gue bise aje merad dari lo!! :)"
"Setelah puluhan tahun, sekarang naik motor bersama lagi dengan Kang Endang putra almarhumah wa iyot. Walau jarang bertemu ikatan kasih sayang itu terus terjaga diantara kita. Teringat saat kecil... [URL]","Setlah puluwan taun, skarang naek motor barengan lage ama Entong Endang jagoan almarhumah Cing Iyot. Kalopun jarang ketemu iketan kasih sayang ituh trus awet di antara kite. Keinget pas kicik... [URL]"
"Miris, marah, jengkel, gedeg saya Jeng. Jkt baru 5 tahun dilola oleh orang-orang baik, hny dlm waktu 5 bulan dirusak oleh orang-orang gila.","ngenesin, ngamuk, dongkol, sebel aye Mpik. Jakarte baru lime taun diatur ama orang-orang baek, hanye dalem waktu 5 bulan dirusak ama orang-orang kagak waras."
Untuk ditingkatkan kembali kebersihannya,Buat ditingkatin kêmbali kêrêsikannyah
Baju thrsher sk8goat pastu pakai gelang leher pelacur tu kahkah bodo jela budak pompuan melayu ni,Baju thrsher sk8goat yakin pake gelang leher lonte ntu aye gebleg bener anak wadon melayu ini
"Cinta terbaik adalah saat kau mencintai seseorang yang membuat akhlakmu semakin indah, dia menjadi sosok penegur saat taatmu luntur, menjadi pelipur saat semangatmu lebur. Dia-lah cinta terbaik, yang tidak hanya menemanimu di dunia namun juga berupaya bersamamu hingga ke surga.","Cinte terbaik ntu pas lu demenin atu orang nyang bikin akhlak lu makin cakep, die jadi sosok penegor pas taat lu luntur, jadi pelipur pas semangat lu lebur. Die-ntu cinte terbaik, nyang kaga tibang nemenin lu di dunie cumun juga berupaye bareng lu ampe ke surge."
"Sosok jyoti itu apa? Knp gua bisa jadi secret admire lu? I like your ""typing"",bener kata orang klo lagi bucin apa aja di sukain. Tapi serius gua suka ngestalk lu karna typing lu ke orang orang","ujud jyoti ntu ape? Kenape gua bise jadi penggemar rahasie lu? Aye demen ""tulisan"" lu,bener kate orang kalo lagi bucin ape aje di demenin. Tapi serius gua demen ngepoin lu karne tulisan lu ke orang orang"
lokasi hotel strategis dekat mall SKA. kamar tidak terlalu luas namun cukup bersih. kamar mandi pun sempit. hot shower airnya panas. menu breakfast bervariasi banyak dan enak. wifi tidak bs konek.,tempat hotel strategis deket mol SKA. kamar kagak terlalu lega tapi cukup resik. jamban juge sumpek. kucuran aer nye panas. menu nyarap macem-macem banyak ame sedep. wifi kagak bise nyambung
aku kan cuman perempuan biasa. kecewa sakit hati patah hati ya akhirnya nangis juga.,ayè pan tibang wadon biasè. kêcèwa nyêri ati patèh ati yè akhirnyè mèwèk jugè.
"Saya dapat surga dunia dikamar, serasa beneran dapat surga akhirat. Itu semua karena wifi. Terima kasih telkom. Suasananya bener2 surgaaaaa. Saya mau surga dunia saya ini kayak gini disurga akhirat. Enaaak. Saya udh pakai ratusan kali wifi di rumah. Pakai ya semua warga Indonesia","Aye dapet surge dunie dipangkeng, srasa beneran dapet surge akherat. Ituh semue karne wipi. Terime kasih telkom. Keadannye bener-bener surgeeeee. Aye mao surge dunie aye inih kek ginih disurge akherat. Enaaak. Aye udeh pake ratusan kali wipi di rumeh. Pake ye semue warge Indonesia"
"Dri pgi ngerasain sakit perut kirain mau haid, udh beli kiranti pas di cek malah kaga ada,  plis atulah haid skrg aja, biar bisa ikut solat ied ","Dari pagi ngerasain sakit perut kirain mau haid, udeh beli kiranti pas di cek malah kaga ade,  tulung atudah haid sekarang aje, bagen bisa ikut solat ied "
"Kamu mencintai Istri, bukan berarti kamu tidak cinta pada anak. Begitupun sebaliknya.' 'Karena cinta itu rasa, dan rasa, akan semakin tajam jika sering dilatih. Supaya ia terdidik dan semakin sensitif dengan perubahan meski sedikit.'","Elu mencintei Bini, bukan brarti elu kagak cinte pade anak. Begituhpun sebaleknye.' 'Karne cinte ituh rase, dan rase, makin tajem jike dilatih terus. Biar ie terdidik dan makin sensitip dengan prubaan walopun seuprit.'"
Untuk TV kabelnya banyak yang tidak bisa channel nya,Buat tipi kabêlnyah banyak nyang ora bisa salurannyah
"ganti provider aja, micha [USERNAME]. daripada kamu gundul komplain tapi nggak ditanggepin. its loss, not yours. [USERNAME] [USERNAME]","Ganti saluran aje, micha [USERNAME]. daripade elu gundul komplen tapi kagak ditanggepin. kerugiannye bukan punye elu [USERNAME] [USERNAME]"
"#OldMoneyGakNgerasain nongkrong depan rumah ama temen2, tiap ada motor lewat di teriakin woy standaar pas orangnya nengok kita sembunyi:))","#GenerasiLameKagaNgerasain nongkrong depan rume ama temen-temen, tiap ade motor lewat di geroin woy standaar pas orangnye nengok kite ngumpet:))"
"Allah tau apa yg terbaik buat aku, Allah tau siapa aku, Allah pun tau nanti aku akan seperti apa... Dan tinggal usahaku seperti apa untuk merealisasikan hal itu semua... selalu berlindung dalam naungan-Mu Ya Allah","Allah tau ape nyang terbaek buat aye, Allah tau siape aye, Allah juge tau nanti aye bakal kek ape... Dan tinggal usaha aye kek ape buat ngerealisasiin hal ituh semue... slalu bernaung dalem naungan-Mu Ya Allah. "
Beberapa Komponen Mobil Rawan Rusak Usai Hajar Lubang http://otomotif.kompas.com/read/2015/02/25/140000515/Beberapa.Komponen.Mobil.Rawan.Rusak.Usai.Hajar.Lubang ?,Beberape Perintilan Mobil Gampang Rusak Abis Ngehajar Lobang http://otomotif.kompas.com/read/2015/02/25/140000515/Beberapa.Komponen.Mobil.Rawan.Rusak.Usai.Hajar.Lubang ?
"menginap 2 hari tp rasanya cuma 1 hari, kamar tidak dibersihkan padahal sudah menggantung tulisan untuk membersihkan kamar, toiletries cuma 1 dan handuk cuma 1 pasang remot ac baterainya cuma 1 jadi mesti ganti dari remot tv kalau mau ubah suhu, kamar sebelah sangat ribut karena (mungkin) direnovasi saat ada tamu jd sangat mengganggu","nginep 2 ari tp rasenye cuman 1 ari, pangkeng kaga dibersiin pedahal udeh ngegantung tulisan buat ngebersiin pangkeng, peralatan mandi tibang 1 ama anduk tibang 1 pasang remot ac baterenye tibang 1 jadi mesti ganti dari remot tipi kalo mao ganti suhu, pangkeng sebele ribut amat karne (kayenye) didandanin pas ade tamu jadi ngeganggu banget"
"[USERNAME] Gw dong. Udah dibilang ga mau ke tempat itu tp ngeyel isi ngejebak mau beliin sesuatu lah. Akhirnya ngomel dah dijalan, eh malah die yg ngamuk naik motor kayak ga bawa anak orang. Gw teriak2 sampe nangis ga digubris malah makin kenceng bawa","[USERNAME] Gw dong. Udeh dibilang kaga mao ke tempat ntu tapi ngeyel isi ngejebak mao beliin sesuatu lah. Akirnye ngomel dah dijalan, eh malah die nyang ngamuk naek motor kaye kaga bawa anak orang. Gw tereak-tereak ampe kejer kaga ditanggepin malah makin kenceng bawa"
belajar agama yg tuntas jd nga ngarang dalam hidup. Isa saja disebut2 dialquran trus lu mau jelek2in Isa?? Bisa baca alquran ga? [URL],blajar agame nyang ampe slese jadi kagak ngaco dalem idup. Isa aje disebut-sebut dialquran trus eluh mao jelek2in Isa?? Bise baca alquran kagak? [URL]
"[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Iya menurut wangsit sih begitu. Tapi ini diundur lagi jadi pesimis deh sama ini negara, terus aja php tuh.","[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Iye menurut wangsit sih begono.Tapi ini diundur lagi jadi pesimis deh ame ini negare, terus aje ngasih arepan palsu tuh."
pemanas airnya tidak bisa dipakai dan lama menunggu panas airnya.. lumayan nyaman sesuai harga,tempat manasin aernye kagak ade bise dipake dan lame menunggu panas aernye.. mayan betah sesuei biyaye
[USERNAME] Masa kecil yg pling diingat itu klo Barangkt sekolah itu mnta diantar ibuk trs karena takut kesekolah sendian dan harus dibelikan Permen dlu biar mau berngkat gt dech scra gue orang pendiem dan takut kpd teman #MasaKecilkuAsik [USERNAME] [USERNAME],[USERNAME] Mase pitik yang paling diinget ntu kalo berangkat sekoleh minte dianter enyak terus soalnye iseng kesekoleh dewekan ame kudu dibeliin Permen dulu supaye mao berangkat sekoleh gono dah secare aye orang kalem ame iseng kepade temen #MasePitikayeResep [USERNAME] [USERNAME]
Salah satu cara untuk menghibur diri dari rutinitas kantor adalah Touring http://kom.ps/AFnWQt,Saleh satu care bakal ngehibur diri dari rutinitas kantor ntu Jalan-Jalan http://kom.ps/AFnWQt
seprei dan selimutnya sedikit kotor,sepre ama ambalnye ngeres dikit
"[USERNAME] [USERNAME] Rasis memang berbanding lurus dengan govlox... Anti Pancasila kebanyakan govlok dan lebih banyak yg rasis... Mau ganti presiden? Silahkan kl mau dukung anti Pancasila, negara berhiaskan rasisme dan kegovlokan... Mongooo ga","[USERNAME] [USERNAME] Rasis èmang bêbanding lurus ama goblok... Anti Pancasila kêbanyakan goblok ama lêbih banyak nyang rasis... Mao ganti prèsidèn? Gidah kalu mao dukung anti Pancasila, nêgara bêrhiaskan rasismê dan kêgoblokan... Gidah ga"
Keren pnmpilan nya tdi mlm di @latenights_ttv semua nya @mrsayudewi @RaffiAhmadLagi @WunguRahayu @Haryotalijiwo @mbah_mijan @KiRaksaManggala,Keren penampilan nye semalem di @latenights_ttv semue nye @mrsayudewi @RaffiAhmadLagi @WungRahayu @Haryotalijiwo @mbah_mijan @KiRaksaManggala
Intisarinya: jangan main hp samsek digojek geng. Even udah deket rumah tinggal ngesot. Gila yah. Astagfirullahaladzim orang jaman sekarang tuh ya apa juga dilakuin hik,Intisarinye: jangan maen hape pisan digojek geng. Kalo udeh deket rumeh tinggal ngesot. Gile ye. Astagfirullahaladzim orang jaman sekarang tuh ye ape juge dilakuin hik
Kamar 209 AC nya tidak dingin,Pangkeng 209 AC nye kagak adem
"Lom bisa bobo gr2 ngutak atik Hp yg lg brmasalah,akhirx dah bisa digunaain lg tp gmn carax? (at SpideRed Room) ? https://path.com/p/4ch21N ","Bêlon bisè molor garè-garè ngotak atik hapè nyang lagi bêmasalèh,akhirnyè udèh bisè digunain lagi tapi gimanè carènyè? (di Pangkèng SpideRed) ? https://path.com/p/4ch21N "
"Si Dera aja, akun alter yang suka flashing her boobs once in a while, bilang dia merinding ngeliat siksaan demi siksaan yg gua alami ahahaha [URL]","Si Dera aje, akun laen nyang demen kadang-kadang mamerin tetenye, bilang die merinding ngeliat siksaan demi siksaan nyang gua alamin ahahaha [URL]"
"Aku sama kayak kamu btw trauma sama laki-laki karna ayah. Semenjak lulus sekolah aku puber suka cowo lah, cowo deketin aku lah segala macem. Aku kira trauma ku sembuh tapi berkali-kali aku dikecewain laki-laki","Guah sama kèk êluh ngomong-ngomong troma sama lanang karna baba. Sêmênjak lulus sêkola guah pubêr dêmên lanang lah, lanang dêkêtin guah lah sêgala macêm. Guah kira troma guah waras tapi bêkali-kali guah dikêcèwain lanang"
"AC mati hidup, dan kalau menyala suara AC nya berisik..","AC mati idup, ama kalo nyala suare AC nye brisik.."
"Benarkah Bila Hatta Memimpin, PAN Selalu Di Bawah Bayang-Bayang Demokrat?"""" by @SangPemburu99 http://chirpstory.com/li/252988  | @PintarPolitik","Beneran Kalo Hatta Mimpin, PAN Nerus Di Bawe Bayang-Bayang Demokrat?"""" dari @SangPemburu99 http://chirpstory.com/li/252988  | @PintarPolitik"
"[USERNAME] Ya beda goblok Via vallen emang dulu doyan goyang seronok Tp skg better lah dia jauh dr kata seronok, mencoba ngubah image penyanyi dangdut pada umumnya Dia jg jauh dr sensasi2 yg negatif kayak kawin-cerai, main film syur, dll","[USERNAME] Ye kagak same bebel Via vallen emang jaman jebot doyan joget sembronoh. Tapi skarang baekanlah die jauh dari kate sembronoh, nyobe ngubah ... penyanyi dangdut pade dasarnye Die juge jauh dari godaan-godaan nyang kagak bener kek kawin-cere, maen pilem syur, dll"
Ketidak mampuan aku untuk tidak menangis dan memikirkan itu sulit.. sesulit menenangkan hati ini..,Kagak mampu aye bakal kagak ngenes ame mikirin ntu suseh.. sesuseh nenangin ati ini..
Rajin Makan Ikan Dijamin Awet Muda & Bebas Kegemukan http://dlvr.it/8mzmSq  (HalloRiau),Idep Gegares Ikan Pasti Awet Mude & Bebas Kegemukan http://dlvr.it/8mzmSq (HalloRiau)
"pelayanan dari cleaning service lambat,  wifi putus nyambung, cuma menang tempat strategis","pelayanan dari pegawe kebersiannye lelet,  wipi putus nyambung, tebang menang tempat strategis"
Suka makan di Kenny Rogers Roasters? Sekarang ada diskon 15% semua menu setiap hari s.d 31 Jul?15 min trans 250rb dengan @KartuKreditBCA!,Dêmên madang di Kènny Rogêrs Roastêrs? Karang adè diskon 15% sêmuè mênu saban ari sampè dêngan 31 Juli?15 minimal transaksi 250 rèbu dêngan @KartuKreditBCA!
kamarnya lumayan tetapi wifi nya ga bs digunakan...,pangkengnye mayan tapi wipi nye kagak bise digunain...
"Hotel Kurang bersih, petugas Hotel jg kurang ramah","Hotel Kurang resik, petugas Hotel juge kurang ajer"
"[USERNAME] jujur iya aku takut, soalnya aku takut keciduk pas naik/turun dari mobil di suatu tempat :))) om aku driver ojol takutnya beliau liat :)))","[USERNAME] jujur iye aye ngeri, soalnye aye ngeri ketewak pas naek/turun dari mobil di atu tempat :))) ncang aye tukang ojol takutnye die nempo :)))"
"kebersihan kamar, toilet, pelayanan resepsionis, di toilet kotor. Lantainya kuning, ada bungkus kondom yg belum dibersihkan","kêrêsikan pangkèng, jamban, pêlayanan rèsèpsionis, di jamban cêbrik. Ubinnyè kuning, adè brèngkosan kondom nyang bêlon dirêsikin"
Terwacana 2015: hidup anti junkfood & anti makan malam lebih dari jam 7 pm. (at @mcd14045) ? https://path.com/p/3joWP9,Terencane 2015: idup anti gegares siap santap & anti makam malem lebih dari jem 7 pm. (di @mcd15045 ? https://path.com/p/3joWP9
"selimutnya kuning seperti tidak bersih, lemarinya ada lumutnya. dulu nginap sini pelayanannya bagus tp skrg agak menurun","selimutnye kuning kaye kaga resik, grobognye ade lumutnye. dulu nginep mari pelayanannye cakep tapi karang agak nurun"
"kamar mandi agak kotor, dan televisi tidak support untuk memutar file video dari flashdrive.","sumur mayan ngeres, ama tipi kaga bise buat muterin file pideo dari flashdrive."
bantalnya enak.. kamarnya dingin.. keset ga ada lagi nha..,bantalnye sedep.. pangkengnye adem.. keset kaga ade lagi nha..
Andai aku bisa berkencan dengannya (are27) walau hanya 1 Malam. ? ? Knock Me Out by Afgan ? https://path.com/p/12RWAY,Andei aye bise beduean dengannye (are27) walo hanye atu Malem. ? ? Knock Me Out oleh Afgan ? https://path.com/p/12RWAY
"Persahabatan itu tidak perlu filosopi, tidak memiliki nilai dalam hidup. akan tetapi, itulah yang memberikan nilai untuk kelangsungan hidup happy friendship day","Pêrsahabatan onoh ora kudu pilosopi, ora milikin pontên dalam idup. akan têtapi, onohlah nyang ngasih pontên buat kêlangsungan idup sêlamêt ari pêrsahabatan"
"RT """"@RNJunior172: Karir raffi ahmad akan lebih naik dari tahun sebelumnya *selebritasiang trans7","RT """"@RNJunior172: Karir raffi ahmad bakal lebi naek dari taun maren *selebritasiang trans7"
"Perkembangan teknologi nggak akan ada habisnya deh. Semakin lama, manusia akan terus-menerus berinovasi bagi teknologi termasuk koneksi internet. Positifnya, hal tersebut pasti bisa membantu dan mempermudah pekerjaan manusia.","Pêrkembangan tèknologi ora bakal ada abisnyah dah. Mangkin lama, manusia bakal têrus-têrusan bêrinopasi bagi tèknologi têrmasup konèksi intêrnèt. Positipnyah, hal têrsêbut pasti bisa ngêbantu dan ngêmêrmudah pêgawèan manusia."
"??? BUNGA UNTUK MAMA ??? Pada suatu pagi, seorang pengusaha muda dengan tergesa-gesa berangkat ke kantor.? ? https://path.com/p/JvJEG ","??? KÊMBANG BUAT ÊNYAK ??? Padè suatu pagi, sêorang pêngusahè mudè dêngan têburu-buru bêrangkat kê kantor.? ? https://path.com/p/JvJEG "
"ga banget,kamarnya banyak sawang bedebu,lamou kamar mandi mmati,kamar mandi ga bersih parah deh","kagak benget,pangkengnye bejibun sawang bedebu,bolam jamban mati,sumur kagak resik parah dah"
"[USERNAME] manja, kang spam, suka imagine, perhatian banget ke satu cowo, bakalan sayang banget ke satu cowo, kalo udh kangen suka manjanya kelewatan, bawel banget, bullyable wjwk apalagi yaa wkwk","[USERNAME] ogoan, tukang nyampah, dêmên imajinasi, opèn bangêt ke atu laki, bakal sayang bangêt ke atu lanang, kalo udèh kangên suka ogoannyè kêliwatan, cêrèwèt bangêt, gampang dirècokin wkwk apèlagi yè wkwk"
Hahahha pengngangguran bisa makan dengan demo pasti otaknya minim ditambah dengan minum kencing onta lengkap deh tololnya,Hahahha pengangguran bise gegares pake demo pasti otaknye dikit ditambeh ame minum kencing onte lengkep dah geblegnye
"#Lounge Kesal dikatain miskin, orang ini beli mobil mahal pake uang RECEH LOGAM http://dlvr.it/8kY06l  #Assadiqulhaq","#Lounge Sebel dikatain kagak mampu, orang inih beli mobil mehong pake duit RECEH GOPEAN http://dlvr.it/8kY06l  #Assadiqulhaq"
"Baru tau dan baru baca berita tentang penyalamatan anak-anak di goa di Thailand, mendadak berkaca-kaca karena tau medannya sesulit itu Semoga semua anak, pelatih, beserta orang-orang yang membantu penyelamatan ini selalu dilindungi YME.","Baru tau ama baru bace berite pasal penyelametan bocah-bocah di goa di Thailand, ujug-ujug berkaca-kaca karne tau kawasannye sesulit ntu Semoge semue bocah, pelatih, ama orang-orang nyang ngebantu penyelametan eni selalu dilindungin YME."
"dan konten ask fm cuma seru2an aja sama temen2 ngga ada yg berbau seks sama sekali, jawabin pertanyaan juga yg normal2 aja tapi kok banyak yg mention kayak gitu ya, sedih akutu","dan kontèn ask fm tibang rêsêp-rêsêpan ajè amè têmên-têmên kagak adè nyang bêbau sèks acan, jawabin pêrtanyaan jugè nyang normal-normal ajè tapi kok banyak nyang nyêbut kayak gono yè, sêdih ayè tuh"
[USERNAME] [USERNAME] Wah banget ini pak Sbg contoh jalan kampung saya dari simpang parmonangan tiga balata ke bosar / bandar Jawa luar biasa rusak nya PaRAH,[USERNAME] [USERNAME] Buset banget eni pak Jadi contoh jalan kampung aye dari simpang parmonangan tige balate ke bosar / bandar Jawa luar biase ambrol nye PaRAH
"Tak Bisa Bayar Utang, Mobil Presiden Parma Disita: Sang presiden justru tak mampu membayar tagihan pribadinya. http://bit.ly/1LXbxan ","Kagak Bisè Bayar Utang, Mobil Prèsidèn Parma Disitè: Sang prèsidèn justru kagak mampu bayar tagihan pribadinyè. http://bit.ly/1LXbxan "
"Aduh pemotor jgn suka ngerumpi di atas fly over daan mogot dong, macet tauk [USERNAME] [USERNAME] [USERNAME] [USERNAME]","Adeh nyang make motor jangan suke rumpi di atas jalan layang daan mogot dong, macet tau [USERNAME] [USERNAME] [USERNAME] [USERNAME]"
"Jangan Khawatir Gemuk Karena Banyak Makan, Ini Dia Informasinya #JktHealth http://ow.ly/JyZHf ","Jangan Kuatir Semok Soalnye Banyak Gegares, Ini Die Inpormasinye #JktSehat http://ow.ly?JyZHf"
"Penutup thread ini adalah, saya mohon kamu selalu inget. Saya sayang kamu. Ilysm to the moon and never back, thanks for everything.. Saranghae [USERNAME]","Ujung tulisan eni ntu, aye arep lu selalu inget. Aye sayang lu. aye demen banget ama lu ampe ke bulan ama kaga perne balik, makasi buat segalenye.. Saranghae [USERNAME]"
remote ac mulai rusak,rèmot AC mulè butut
"AC mati, tidak ada keset, pelayanan kurang","AC mati, kagak ada topo, pelayanan kurang"
ac agak bau. remote tv tidak berfungsi,ac mayan bau. remot tipi kaga jalan
Sedang mencoba freeman mask yang lemon+mint. Sumpaah ini muka enak beett kek adem2 lucu gmn gtttt karna ada mint nya mungkin.......tp enak bet sih wkaka,Lagi nyoba freeman mask nyang lemon+min. Sumpeee eni muke sedep ameett kek adem-adem lucu gimane gituuu karne ade min nye kayenye.......tapi sedep amet sih wkaka
"guys aku lagi deg degan parah, takut ga bisa ambil 24sks smt ini, udah tinggal 1 matkul lg yg mau keluar tapi aku ga yakin soalnya ngerasa zonk bgt dosen sm uasnya biar ga takut gimana ya kepikiran trs ga enak","temen-temen aye lagi deg-degan pareh, iseng kagak bise ambil 24sks semester ini, udeh tinggal 1 matkul lagi yang mao keluar tapi aye kagak yakin soalnye ngerase apes bener dosen ame uasnye supaye kagak iseng begimane ye kepikiran mulu kagak sedep"
"Punya utang udah 2thn ditagih ngilang2an, tapi kalo ada hp keluaran terbaru gapernah ketinggalan, punya otak gasih? Dikira sininya gabutuh duit apa, iya kalo utangnya dikit lah ini","Punye utang udeh 2 tau ditagih ilang-ilangan, tapi kalo ada hape keluaran terbaru kagak pernah ketinggalan, punye otk kagak sih? Dikire sininye kagak butuh duit ape, iye kalo utangnye dikit lah ini"
"Addeh, Mas dan Bpk sekalian, sekali lagi Via Vallen hanyalah KORBAN, yang mesti speak up agar supaya TIDAK TERULANG kembali. Sebagai bentuk spread awareness sekaligus hukuman buat siapapun yg ngeDM dia spy stop. Kamu klo dilecehkan kyk gitu diam aja? gimana pelaku mau berhenti [URL]","Bujug, Abang ame babeh sekalian, sekali lagi Via Vallen tibang KORBAN, yang kudu ngomong supaye KAGAK KEULANG lagi. Sebagei bentuk nyadarin orang-orang sekaligus hukuman bakal siape juga yang ngirim pesen die supaye berenti. Elu kalo dilecehin kayak gono diem aje? gimane pelaku mao berenti [URL]"
"[USERNAME] [USERNAME] [USERNAME] br keluar goa ya? lu ga tau presiden lu diancam bunuh, dikacung2in? ma bicah pula. viral video nya. ga mgkn kalo ga tau. parah lu","[USERNAME] [USERNAME] [USERNAME] baru kêluar goa yè? lu kagak tau prèsidèn lu diancêm bunuh, dikacung-kacungin? amè bocah pulè. piral pidio nyè. kagak mungkin kalo kagak tau. parèh lu"
"Aku tidak meminta kau hadir dlm hdpku, tapi tuhan mempertemukan aku dan kamu. Aku tdk berharap lebih darimu, kau memberi harapan dlm hdpku hingga aku bs menerimamu. Tapi saat ini kau meninggalkan aku seorang diri tanpamu.","Ayè kagak ngêmintè êlu hadir dalêm idup ayè, tapi tuhan ngêmêrtêmuin ayè dan êlu. Ayè kagak ngarêp lêbih darilu, êlu ngêbêri arêpan dalêm idup ayè hinggè ayè bisa nêrimèlu. Tapi saat êni êlu ngêninggalin ayè sêorang diri tanpèlu."
"Ada orang yg berubah, jadi lebih positif atau negatif, kita ga pernah tau the biggest reason kenapa dia berubah, kalo salah ya dikasih tau jangan dihujat","Ada orang nyang bêrobah, jadi lêbih positip atau nègatip, kita ora pêrnah tau alêsan têrgêdé ngapah diah bêrobah, kalu salah yak dikasih tau ontong dihujat"
mohon diperbaiki : 1. air hangat kecil 2. deposit yang dikembalikan sesuai dengan yang disetorkan padahal tidak ada kerusakan yang ditimbulkan.,Tolong dibenerin : 1. aer anget mampet 2. deposit nyang dibalikin sesuei ama nyang disetorin padaal kagak ade krusakan nyang ditimbulin.
"[Detikinet]Bikin Video Klip, Syahrini Pakai Konsep Absurd[Kapanlagi]: Penyanyi yang satu ini sedang menggarap ... http://bit.ly/1vR1Ock ","[Detikinèt]Ngêja Pidio Klip, Syahrini Pakè Konsèp Ora Masup Akal[Kapanlagi]: Biduan nyang atu ênih sêdêng ngêgarêp ... http://bit.ly/1vR1Ock "
Terimakasih telah menuangkanya dalam cerita dn kemudian di posting dlm sebuah blog. Setidaknya semakin tau pasti bagaimana perjalanan kalian.,Makasih udeh naro dalem cerite dan trus di posting dalem atu blog. Seengganye semakin tau pasti pegimane perjalanan lu-lu pade.
"[USERNAME] ""Cinta tak butuh pengorbanan. Pada saat kau merasa berkorban, pada saat itu cintamu mulai pudar."" Ini wejangan dari mbah [USERNAME]","[USERNAME] ""Cinte kagak butuh pengorbanan. Pade saat elu ngrasa bekorban, pas ntu cinte elu mulei luntur."" Ini sediaan dari nenek [USERNAME] "
lumayan.. hanya saja kalau malam air kurang kencang dan air panasnya tidak terasa..,mayan.. tibang aje kalo malem aer kurang kenceng ame aer panasnye kagak terase..
"Kita berteman beda genarasi. Asiknya kita yang tua berasa jadi muda, dan mereka yg muda belajar membahas hal-hal serius dalam masa depan. Kita berteman se asik #HonorIndonesia meskipun kadang harus mrnghadapi sifat kekanak-kanakan mereka. [URL]","Kita bêtêmên bèda gênêrasi. Asiknyah kita nyang kolot bêrasa jadi muda, dan mêrèka nyang muda bêlajar ngêbahas hal-hal sêrius dalêm masa dêpan. Kita bêtemên sêasik #HonorIndonèsia mêski gè kadang kudu ngadêpin sipat kêbocah-bocahan mêrèka. [URL]"
kenapa baru nak hargai bila orang tu dah pergi,kenape baru eluh hargei kalo orang ntu udeh pergi
Dan twitter pun menjadi pelarian dari sosmed lain karena curhat di sosmed lain ga sebebas curhat di sini.... .... .... .... termasuk saya ahahahahahhaha,Dan twitter ge jadi alihan dari sosmed laen karne dumel di sosmed laen kagak sebebas dumel di mari.... .... .... ....ngikut aye ge ahahahahahahha
"Muhammad Ali lebih dari sekedar petinju. Ia Muslim terbaik, manusia terbaik di era modern. Teguh berprinsip namun lembut pada penggemar &amp","Muhammad Ali lebih dari sekedar tukang tonjok. Iye Muslim terbae, manusie terbae di jaman moderen. Teguh berprinsip tapi ramah pade penggemar &amp"
"Ga usah di aminin, doa lu ga akan mustajab. Sama kayak orang umroh dengan niat ""politik"" ga akan di qobul. Lu kira dngn kampanye sambil teriak takbir, sang Pencipta bakal ikut nyoblos #Mikir [URL]","Kaga use di aminin, doa lu kaga bakal mustajab. Sama kaye orang umroh make niat ""politik"" kaga bakal di qobul. Lu kate dengan kampanye sambil gegerawakan takbir, sang Pencipte bakal ikut nyoblos #Mikir [URL]"
sudah beberapa kali mencoba yang ada hanya melukai seseorang yang tidak terlibat. daripada terus mengulang lebih baik mungkin move on sendiri dulu jangan melibatkan orang lain. karna hanya akan menambah luka baru. bagi orang itu.,udeh beberape kali nyoba yang ada tibang ngelukain seseorang yang kagak terlibat. dari pade ngulang mulu lebih bae mungkin pindah dewek dulu jangan ngelibatin orang laen. soalnye tibang bakal nambah luke baru. bakal orang ntu.
